Model,File,Clone Method,Clone Type,Detect,Compile,Test,Usefulness,Iteration
GPT-5.2,CustomSelectionTool,mouseDown,Type-2(d),yes,yes,yes,yes,1
GPT-5.2,FloatingTextArea,setBounds,Type-2(d),yes,yes,yes,3 did not refactor this clone,no
GPT-5.2,MiniMapView,getViewRectangle,Type-2(d),yes,yes,yes,3 did not refactor this clone,no
GPT-5.2,NestedCreationTool,mouseDown,Type-3(a),yes,yes,yes,yes,1
GPT-5.2,StandardLayouter,calculateLayout,Type-3(a),yes,yes,yes,yes,1
GPT-5.2,WindowMenu,buildChildMenus,Type-3(a),yes,yes,yes,1 incomplete refactoring,2
GPT-5.2,PolygonTool,addPoint,Type-3(b),yes,yes,yes,"2 did not refactor this clone, 1 call based substitution",no
GPT-5.2,AbstractLineDecoration,read,Type-3(b),yes,yes,yes,yes,1
GPT-5.2,BorderTool,mouseDown,Type-3(b),yes,yes,yes,yes,1
GPT-5.2,PolygonFigure,handles,Type-3(c),yes,yes,yes,yes,1
GPT-5.2,DesktopEventService,getDrawingViews,Type-3(c),yes,yes,yes,yes,1
GPT-5.2,ZoomCommand,zoomView,Type-3(c),yes,yes,yes,yes,1
GPT-5.2,ZoomTool,mouseDown,Type-3(d),yes,yes,yes,3 incomplete refactoring,no
GPT-5.2,TextAreaFigure,setFont,Type-3(d),yes,yes,yes,yes,1
GPT-5.2,TextAreaTool,mouseUp,Type-3(d),yes,yes,yes,yes,1
GPT-5.2,ImageFigure,imageUpdate,Type-3(e),yes,yes,yes,3 incomplete refactoring,no
GPT-5.2,PolyLineFigure,displayBox,Type-3(e),yes,yes,yes,3 did not refactor this clone,no
,,,,,,,,
=======
>>>>>>> parent of 964c8d7 (update)
,,,,,,,,
Claude Opus 4.6,helper.java,getDrawingView,Type 2(b),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,drawapplet,init,Type 1(a),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,FigureAttributeConstant,addConstant,Type 1(a),Yes,Yes,Yes,3 direct clone removel,no
Claude Opus 4.6,drawapplet,createAttributeConstant,Type 1(a),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,nothingapplet,createTools,Type 1(a),Yes,Yes,Yes,3 incomplete refactoring,no
Claude Opus 4.6,CompositeFigureCreationTool,mouseDown,Type 1(b),Yes,Yes,Yes,direct clone removel,2
Claude Opus 4.6,ChopDiamondConnector,chop,Type 1(b),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,MiniMapDesktop,createLeftComponent,Type 1(b),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,Animator,run,Type 1(b),Yes,Yes,Yes,3 incomplete refactoring,no
Claude Opus 4.6,CTXWindowMenu,buildChildMenus,Type 1(c),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,ColorMap,colorIndex,Type 1(c),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,BouncingDrawing,animationStep,Type 1(c),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,PertDependency,handleConnect,Type 1(c),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,AutoscrollHelper,getAutoscrollInsets,Type 2(a),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,Geom ,direction,Type 2(a),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,JHDDropTargetListener,dragOver,Type 2(a),Yes,Yes,Yes,1 incomlpete refactoring,2
Claude Opus 4.6,StandardLayouter,layout,Type 2(a),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,LineConnection,basicMoveBy,Type 2(b),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,Triangle Figure,rotate,Type 2(b),Yes,Yes,Yes,3 incomplete refactoring,no
Claude Opus 4.6,SplitPaneDesktop,removeFromDesktop,Type 2(b),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,DNDHelper,createDragGestureRecognizer,Type-3(e),Yes,Yes,Yes,3 incomplete refactoring,no
Claude Opus 4.6,DragNDropTool,setCursor,Type-3(c),Yes,Yes,Yes,3 incomplete refactoring,no
Claude Opus 4.6,JHDDragSourceListener,dragEnter,Type-3(e),Yes,Yes,Yes,3 incomplete refactoring,no
